iter	Passed	Remaining
844	41596	56857
845	41634	56792
846	41672	56728
847	41707	56659
848	41762	56617
849	41823	56584
850	41889	56558
851	41931	56499
852	41976	56444
853	42016	56383
854	42062	56329
855	42101	56266
856	42147	56212
857	42184	56147
858	42216	56076
859	42260	56019
860	42356	56032
861	42402	55979
862	42449	55927
863	42494	55872
864	42533	55810
865	42579	55756
866	42622	55698
867	42666	55644
868	42714	55592
869	42752	55528
870	42810	55492
871	42870	55455
872	42933	55424
873	42988	55383
874	43030	55324
875	43075	55270
876	43112	55206
877	43158	55152
878	43204	55099
879	43248	55043
880	43292	54987
881	43332	54926
882	43422	54929
883	43477	54888
884	43516	54825
885	43558	54767
886	43593	54701
887	43628	54633
888	43664	54568
889	43702	54504
890	43743	54445
891	43779	54381
892	43819	54320
893	43858	54259
894	43929	54236
895	43993	54206
896	44055	54173
897	44097	54114
898	44142	54060
899	44190	54010
900	44232	53952
901	44278	53900
902	44318	53839
903	44342	53760
904	44386	53705
905	44476	53705
906	44534	53667
907	44588	53624
908	44628	53563
909	44681	53519
910	44731	53472
911	44775	53415
912	44823	53365
913	44870	53314
914	44922	53269
915	44984	53234
916	45050	53206
917	45111	53171
918	45149	53107
919	45190	53049
920	45234	52994
921	45281	52942
922	45325	52888
923	45368	52831
924	45410	52774
925	45458	52724
926	45568	52745
927	45630	52710
928	45672	52653
929	45710	52591
930	45747	52529
931	45784	52465
932	45829	52411
933	45878	52361
934	45920	52304
935	45963	52248
936	46015	52202
937	46073	52163
938	46132	52126
939	46204	52102
940	46249	52049
941	46287	51987
942	46325	51925
943	46370	51872
944	46415	51818
945	46461	51766
946	46510	51716
947	46552	51659
948	46648	51661
949	46711	51628
950	46764	51583
951	46805	51525
952	46850	51471
953	46896	51419
954	46941	51365
955	46981	51305
956	47021	51247
957	47069	51196
958	47135	51165
959	47193	51126
960	47258	51094
961	47298	51035
962	47344	50982
963	47387	50926
964	47433	50874
965	47487	50830
966	47527	50771
967	47570	50715
968	47606	50652
969	47669	50617
970	47744	50596
971	47781	50534
972	47823	50477
973	47866	50421
974	47909	50366
975	47957	50315
976	47999	50259
977	48040	50201
978	48083	50146
979	48121	50085
980	48182	50048
981	48243	50011
982	48344	50016
983	48422	49997
984	48469	49945
985	48509	49887
986	48552	49831
987	48600	49780
988	48645	49727
989	48691	49675
990	48789	49675
991	48834	49621
992	48879	49568
993	48922	49513
994	48965	49457
995	49015	49409
996	49058	49353
997	49104	49301
998	49147	49245
999	49184	49184
1000	49263	49164
1001	49332	49135
1002	49394	49098
1003	49439	49045
1004	49483	48991
1005	49532	48942
1006	49576	48887
1007	49618	48830
1008	49655	48769
1009	49692	48708
1010	49729	48647
1011	49769	48589
1012	49874	48594
1013	49913	48535
1014	49954	48478
1015	49999	48424
1016	50045	48372
1017	50088	48317
1018	50128	48259
1019	50163	48196
1020	50206	48141
1021	50252	48088
1022	50296	48034
1023	50354	47993
1024	50411	47952
1025	50477	47919
1026	50524	47867
1027	50572	47817
1028	50610	47758
1029	50650	47699
1030	50691	47642
1031	50736	47590
1032	50776	47532
1033	50824	47481
1034	50916	47472
1035	50977	47434
1036	51024	47383
1037	51067	47328
1038	51108	47272
1039	51152	47217
1040	51197	47164
1041	51239	47109
1042	51284	47055
1043	51349	47021
1044	51441	47010
1045	51507	46977
1046	51574	46944
1047	51632	46902
1048	51677	46849
1049	51716	46790
1050	51757	46734
1051	51797	46677
1052	51841	46623
1053	51881	46564
1054	51901	46490
1055	52013	46497
1056	52065	46450
1057	52141	46424
1058	52185	46370
1059	52222	46310
1060	52266	46256
1061	52312	46204
1062	52355	46149
1063	52399	46096
1064	52447	46045
1065	52489	45990
1066	52562	45961
1067	52651	45946
1068	52727	45920
1069	52794	45886
1070	52854	45846
1071	52897	45792
1072	52944	45740
1073	52982	45681
1074	53081	45674
1075	53139	45632
1076	53188	45582
1077	53251	45545
1078	53355	45542
1079	53444	45526
1080	53488	45472
1081	53530	45417
1082	53575	45363
1083	53613	45304
1084	53651	45244
1085	53692	45188
1086	53733	45132
1087	53772	45074
1088	53810	45015
1089	53852	44959
1090	53894	44904
1091	53937	44849
1092	53979	44793
1093	54021	44738
1094	54062	44681
1095	54161	44673
1096	54215	44628
1097	54260	44574
1098	54306	44522
1099	54352	44469
1100	54396	44416
1101	54438	44361
1102	54479	44304
1103	54530	44256
1104	54572	44201
1105	54626	44155
1106	54684	44113
1107	54754	44080
1108	54829	44051
1109	54898	44017
1110	54956	43974
1111	54999	43920
1112	55044	43867
1113	55088	43813
1114	55133	43760
1115	55221	43742
1116	55299	43714
1117	55344	43662
1118	55390	43609
1119	55426	43549
1120	55467	43493
1121	55505	43434
1122	55545	43377
1123	55588	43323
1124	55628	43266
1125	55666	43208
1126	55713	43156
1127	55773	43115
1128	55840	43080
1129	55889	43029
1130	55937	42979
1131	55980	42925
1132	56024	42871
1133	56071	42819
1134	56112	42763
1135	56155	42709
1136	56203	42659
1137	56277	42628
1138	56379	42618
1139	56434	42573
1140	56484	42524
1141	56526	42468
1142	56564	42410
1143	56608	42357
1144	56654	42305
1145	56699	42252
1146	56745	42200
1147	56809	42161
1148	56893	42137
1149	56958	42099
1150	57002	42046
1151	57051	41996
1152	57096	41943
1153	57137	41887
1154	57184	41836
1155	57226	41781
1156	57266	41724
1157	57310	41671
1158	57412	41659
1159	57459	41608
1160	57492	41547
1161	57529	41488
1162	57550	41418
1163	57588	41361
1164	57621	41299
1165	57660	41242
1166	57696	41183
1167	57740	41130
1168	57776	41071
1169	57817	41016
1170	57874	40971
1171	57936	40931
1172	58008	40897
1173	58050	40842
1174	58093	40788
1175	58133	40733
1176	58173	40676
1177	58213	40621
1178	58250	40563
1179	58295	40510
1180	58341	40458
1181	58389	40408
1182	58479	40387
1183	58554	40355
1184	58594	40298
1185	58637	40245
1186	58680	40191
1187	58726	40139
1188	58769	40085
1189	58809	40029
1190	58854	39977
1191	58894	39922
1192	58942	39871
1193	59021	39842
1194	59092	39807
1195	59145	39760
1196	59183	39703
1197	59229	39650
1198	59268	39594
1199	59320	39547
1200	59364	39494
1201	59415	39445
1202	59457	39391
1203	59527	39355
1204	59627	39339
1205	59657	39277
1206	59698	39222
1207	59738	39165
1208	59781	39112
1209	59819	39055
1210	59861	39001
1211	59910	38951
1212	59954	38899
1213	59998	38845
1214	60050	38797
1215	60121	38762
1216	60196	38729
1217	60234	38672
1218	60278	38619
1219	60325	38569
1220	60367	38514
1221	60418	38466
1222	60463	38414
1223	60507	38361
1224	60550	38307
1225	60658	38295
1226	60713	38249
1227	60767	38202
1228	60808	38147
1229	60847	38091
1230	60888	38036
1231	60927	37980
1232	60965	37924
1233	61006	37869
1234	61052	37818
1235	61092	37762
1236	61153	37720
1237	61223	37683
1238	61288	37643
1239	61334	37592
1240	61377	37538
1241	61422	37486
1242	61462	37431
1243	61504	37377
1244	61547	37323
1245	61583	37266
1246	61623	37211
1247	61701	37179
1248	61785	37150
1249	61829	37097
1250	61868	37042
1251	61918	36992
1252	61961	36939
1253	62003	36885
1254	62047	36832
1255	62090	36779
1256	62136	36728
1257	62185	36678
1258	62253	36639
1259	62321	36601
1260	62434	36589
